Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57643-9508,SF,Carmelo,Carmelo Anthony,Anthony,22.76491185238487,57,5000,MEM@POR,POR,MEM,,,,,,SF
57643-9560,PF,Blake,Blake Griffin,Griffin,23.048484108664773,33,5000,BOS@BKN,BKN,BOS,,,,,,PF
57643-9561,C,DeAndre,DeAndre Jordan,Jordan,21.95098039215686,51,5000,BOS@BKN,BKN,BOS,,,,,,C
57643-145336,PF,Xavier,Xavier Tillman,Tillman,17.52978775349069,47,5000,MEM@POR,MEM,POR,,,,,,PF
57643-96763,PG,Brandon,Brandon Goodwin,Goodwin,9.455000305175782,40,5000,MIA@ATL,ATL,MIA,,,,,,PG
57643-66046,SG,Luke,Luke Kennard,Kennard,14.980000443892045,55,5000,LAC@HOU,LAC,HOU,,,,,,SG
57643-80823,PF,Tony,Tony Bradley,Bradley,17.908824247472428,34,4900,WAS@OKC,OKC,WAS,,,,,,PF
57643-23572,SF,Taurean,Taurean Prince,Prince,19.009756693025913,41,4800,CLE@CHA,CLE,CHA,O,Ankle,,,,SF
57643-145538,PF,Aleksej,Aleksej Pokusevski,Pokusevski,18.84722222222222,36,4800,WAS@OKC,OKC,WAS,,,,,,PF
57643-14501,C,Tristan,Tristan Thompson,Thompson,20.865116562954213,43,4800,BOS@BKN,BOS,BKN,,,,,,C
57643-14543,PF,Davis,Davis Bertans,Bertans,18.57441888853561,43,4800,WAS@OKC,WAS,OKC,,,,,,PF
57643-84713,SG,Svi,Svi Mykhailiuk,Mykhailiuk,15.069090687144886,55,4800,WAS@OKC,OKC,WAS,,,,,,SG
57643-84724,SG,Landry,Landry Shamet,Shamet,14.683333079020182,48,4800,BOS@BKN,BKN,BOS,,,,,,SG
57643-84711,SG,Grayson,Grayson Allen,Allen,20.954545454545453,44,4700,MEM@POR,MEM,POR,,,,,,SG
57643-9648,PF,Jeff,Jeff Green,Green,19.094544566761364,55,4700,BOS@BKN,BKN,BOS,,,,,,PF
57643-145536,PG,Theo,Theo Maledon,Maledon,19.92452830188679,53,4600,WAS@OKC,OKC,WAS,,,,,,PG
57643-85137,SG,Duncan,Duncan Robinson,Robinson,21.284746590307204,59,4600,MIA@ATL,MIA,ATL,,,,,,SG
57643-110349,SF,Rui,Rui Hachimura,Hachimura,24.01914945561835,47,4600,WAS@OKC,WAS,OKC,GTD,Kneecap,,,,SF
57643-110322,PG,Jordan,Jordan Poole,Poole,16.597368742290296,38,4500,DEN@GS,GS,DEN,,,,,,PG
57643-110331,SG,Ty,Ty Jerome,Jerome,19.70384568434495,26,4500,WAS@OKC,OKC,WAS,,,,,,SG
57643-15691,C,Cody,Cody Zeller,Zeller,22.25945879961993,37,4500,CLE@CHA,CHA,CLE,,,,,,C
57643-110338,SF,De'Andre,De'Andre Hunter,Hunter,28.120001220703124,20,4400,MIA@ATL,ATL,MIA,O,Knee,,,,SF
57643-9664,SF,Andre,Andre Iguodala,Iguodala,16.03076876126803,52,4400,MIA@ATL,MIA,ATL,GTD,Hip,,,,SF
57643-42550,PF,Jabari,Jabari Parker,Parker,8.54000015258789,5,4300,BOS@BKN,BOS,BKN,,,,,,PF
57643-145547,PG,Facundo,Facundo Campazzo,Campazzo,14.11923100398137,52,4300,DEN@GS,DEN,GS,,,,,,PG
57643-9538,PF,Trevor,Trevor Ariza,Ariza,18.872222900390625,18,4300,MIA@ATL,MIA,ATL,,,,,,PF
57643-9729,PF,Paul,Paul Millsap,Millsap,20.82608695652174,46,4200,DEN@GS,DEN,GS,,,,,,PF
57643-117291,SG,Armoni,Armoni Brooks,Brooks,15,7,4200,LAC@HOU,HOU,LAC,,,,,,SG
57643-12362,C,DeMarcus,DeMarcus Cousins,Cousins,22.399999618530273,32,4200,LAC@HOU,LAC,HOU,,,,,,C
57643-15592,PG,Austin,Austin Rivers,Rivers,13.454545454545455,22,4200,DEN@GS,DEN,GS,,,,,,PG
