Position,Nickname,Salary
PG,Facundo Campazzo,4300
PF,Trevor Ariza,4300
PF,Paul Millsap,4200
SG,Armoni Brooks,4200
C,DeMarcus Cousins,4200
PG,Austin Rivers,4200
SF,Eric Gordon,4200
PG,Payton Pritchard,4200
C,Kevon Looney,4100
PF,Brandon Clarke,4100
PF,JaMychal Green,4000
C,Robin Lopez,4000
PG,Yogi Ferrell,4000
PF,Grant Williams,4000
SG,Romeo Langford,4000
SF,Danuel House,4000
PF,Isaiah Roby,4000
SG,Cody Martin,4000
C,Onyeka Okongwu,4000
PF,Precious Achiuwa,4000
SG,Isaac Okoro,4000
PF,Juan Toscano-Anderson,3900
C,Dewayne Dedmon,3900
SG,Desmond Bane,3900
SF,Semi Ojeleye,3900
SF,Solomon Hill,3800
SG,PJ Dozier,3800
PG,Ish Smith,3800
PG,Anfernee Simons,3800
PF,Alize Johnson,3800
PG,Shaquille Harrison,3800
SG,Sterling Brown,3800
SF,Derrick Jones,3800
SG,Avery Bradley,3700
SF,Jaylen Hoard,3700
SF,Caleb Martin,3700
PF,Kenyon Martin,3700
PG,Brad Wanamaker,3700
PF,Luke Kornet,3600
PG,Tyus Jones,3600
PG,Rajon Rondo,3600
PG,Raul Neto,3600
PF,Dean Wade,3600
PF,Vernon Carey,3600
SF,Garrison Mathews,3500
PG,Gabe Vincent,3500
C,JaVale McGee,3500
SF,Mychal Mulder,3500
SF,Vlatko Cancar,3500
PF,Patrick Patterson,3500
SF,DaQuan Jeffries,3500
PG,Keljin Blevins,3500
SF,Max Strus,3500
C,Tacko Fall,3500
PF,Nemanja Bjelica,3500
PF,Nathan Knight,3500
PG,Matthew Dellavedova,3500
SF,Tony Snell,3500
PG,Damyean Dotson,3500
PF,Anthony Gill,3500
SF,Cedi Osman,3500
SG,Gary Payton II,3500
PF,Rondae Hollis-Jefferson,3500
PG,Tyler Johnson,3500
SF,Timothe Luwawu-Cabarrot,3500
C,Bismack Biyombo,3500
SF,Anthony Lamb,3500
PG,Tim Frazier,3500
SF,Chandler Hutchison,3500
PF,Killian Tillie,3500
SF,Justise Winslow,3500
SF,KZ Okpala,3500
C,Bol Bol,3500
PG,Tremont Waters,3500
C,Eric Paschall,3500
PF,Isaac Bonga,3500
PF,Bruno Fernando,3500
PG,D.J. Augustin,3500
PG,Carsen Edwards,3500
SF,Nassir Little,3500
PG,Justin Robinson,3500
SG,John Konchar,3500
SF,Mfiondu Kabengele,3500
PF,Alen Smailagic,3500
SF,Jontay Porter,3500
PF,Jordan Bell,3500
SG,Brodric Thomas,3500
PF,Udonis Haslem,3500
PF,Amir Coffey,3500
SG,Skylar Mays,3500
SF,CJ Elleby,3500
PF,Zeke Nnaji,3500
SG,Grant Riller,3500
C,Nick Richards,3500
C,Daniel Oturu,3500
SF,Gabriel Deck,3500
PF,Harry Giles,3500
PF,T.J. Leaf,3500
PF,D.J. Wilson,3500
SG,Aaron Nesmith,3500
PF,Reggie Perry,3500
PG,Nico Mannion,3500
C,Alex Len,3500
PG,Cassius Winston,3500
PG,Markus Howard,3500
SF,Sean McDermott,3500
PF,Lamar Stevens,3500
