Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position
57818-145337,SG,Tyrese,Tyrese Haliburton,Haliburton,28.007407859519677,54,6100,DAL@SAC,SAC,DAL,,,,,,SG
57818-20640,SG,Jordan,Jordan Clarkson,Clarkson,26.912499564034597,56,6000,UTA@MIN,UTA,MIN,,,,,,SG
57818-14523,PG,Reggie,Reggie Jackson,Jackson,19.781035324622845,58,6000,LAC@NO,LAC,NO,,,,,,PG
57818-110357,SF,RJ,RJ Barrett,Barrett,29.852459016393443,61,6000,PHO@NY,NY,PHO,,,,,,SF
57818-111273,SF,Luguentz,Luguentz Dort,Dort,23.42825980808424,46,5900,OKC@PHI,OKC,PHI,O,Hip,,,,SF
57818-84704,SG,Kevin,Kevin Huerter,Huerter,24.873771292264344,61,5900,ATL@DET,ATL,DET,,,,,,SG
57818-15684,SG,Victor,Victor Oladipo,Oladipo,35.378787878787875,33,5900,CHI@MIA,MIA,CHI,O,Knee,,,,SG
57818-40830,PG,Delon,Delon Wright,Wright,25.435293160232842,51,5900,DAL@SAC,SAC,DAL,,,,,,PG
57818-49675,PG,Derrick,Derrick White,White,28.49428536551339,35,5800,SA@WAS,SA,WAS,,,,,,PG
57818-9874,PF,Kevin,Kevin Love,Love,23.311763987821692,17,5800,CLE@TOR,CLE,TOR,,,,,,PF
57818-84695,SG,Gary,Gary Trent,Trent,23.023637251420453,55,5800,CLE@TOR,TOR,CLE,,,,,,SG
57818-15590,C,Mason,Mason Plumlee,Plumlee,30.05925835503472,54,5800,ATL@DET,DET,ATL,,,,,,C
57818-9475,PG,Derrick,Derrick Rose,Rose,25.542500305175782,40,5800,PHO@NY,NY,PHO,,,,,,PG
57818-58377,SF,Kyle,Kyle Kuzma,Kuzma,24.592983312774123,57,5700,LAL@ORL,LAL,ORL,,,,,,SF
57818-80821,C,Jarrett,Jarrett Allen,Allen,32.09411860447304,51,5700,CLE@TOR,CLE,TOR,,,,,,C
57818-101329,PG,Kendrick,Kendrick Nunn,Nunn,24.26383030668218,47,5700,CHI@MIA,MIA,CHI,GTD,Elbow,,,,PG
57818-84675,C,Mo,Mo Bamba,Bamba,16.816667344835068,36,5600,LAL@ORL,ORL,LAL,,,,,,C
57818-60233,SG,Dillon,Dillon Brooks,Brooks,26.812726384943183,55,5600,MEM@DEN,MEM,DEN,,,,,,SG
57818-145307,PF,Isaiah,Isaiah Stewart,Stewart,20.489830922272247,59,5600,ATL@DET,DET,ATL,,,,,,PF
57818-23169,C,Steven,Steven Adams,Adams,24.883928571428573,56,5500,LAC@NO,NO,LAC,GTD,Toe,,,,C
57818-110312,SG,Tyler,Tyler Herro,Herro,27.0749994913737,48,5500,CHI@MIA,MIA,CHI,GTD,Foot,,,,SG
57818-18338,PF,Royce,Royce O'Neale,O'Neale,21.82542290121822,59,5500,UTA@MIN,UTA,MIN,,,,,,PF
57818-80809,SG,Josh,Josh Jackson,Jackson,24.324999128069198,56,5500,ATL@DET,DET,ATL,,,,,,SG
57818-16376,SF,Dorian,Dorian Finney-Smith,Finney-Smith,21.879165649414062,48,5500,DAL@SAC,DAL,SAC,,,,,,SF
57818-70827,C,Ivica,Ivica Zubac,Zubac,22.448387884324596,62,5400,LAC@NO,LAC,NO,,,,,,C
57818-14530,SF,Bojan,Bojan Bogdanovic,Bogdanovic,23.48499959309896,60,5400,UTA@MIN,UTA,MIN,,,,,,SF
57818-9637,SF,Danilo,Danilo Gallinari,Gallinari,21.68780517578125,41,5400,ATL@DET,ATL,DET,,,,,,SF
57818-145336,PF,Xavier,Xavier Tillman,Tillman,17.518367845184947,49,5400,MEM@DEN,MEM,DEN,,,,,,PF
57818-20992,PF,Larry,Larry Nance,Nance,27.1,35,5300,CLE@TOR,CLE,TOR,,,,,,PF
57818-40562,SG,Josh,Josh Hart,Hart,24.48723456200133,47,5300,LAC@NO,NO,LAC,O,Thumb,,,,SG
57818-84670,SF,Mikal,Mikal Bridges,Bridges,26.088334147135416,60,5300,PHO@NY,PHO,NY,,,,,,SF
57818-23825,C,Nerlens,Nerlens Noel,Noel,22.53888843677662,54,5300,PHO@NY,NY,PHO,,,,,,C
57818-145328,SF,Saddiq,Saddiq Bey,Bey,19.97457627118644,59,5300,ATL@DET,DET,ATL,,,,,,SF
57818-9673,PG,Goran,Goran Dragic,Dragic,23.73249969482422,40,5300,CHI@MIA,MIA,CHI,,,,,,PG
57818-117286,C,Moses,Moses Brown,Brown,22.770968529485888,31,5200,OKC@PHI,OKC,PHI,,,,,,C
57818-84690,SG,Jalen,Jalen Brunson,Brunson,22.514546342329545,55,5200,DAL@SAC,DAL,SAC,,,,,,SG
57818-110336,PF,Chuma,Chuma Okeke,Okeke,19.13023199037064,43,5200,LAL@ORL,ORL,LAL,,,,,,PF
57818-15636,SF,Kentavious,Kentavious Caldwell-Pope,Caldwell-Pope,17.694545676491476,55,5200,LAL@ORL,LAL,ORL,GTD,Ankle,,,,SF
57818-85305,SF,Kenrich,Kenrich Williams,Williams,17.80666707356771,60,5200,OKC@PHI,OKC,PHI,,,,,,SF
57818-9809,SF,Nicolas,Nicolas Batum,Batum,21.860345248518318,58,5100,LAC@NO,LAC,NO,,,,,,SF
57818-110315,SG,Terance,Terance Mann,Mann,14.94915254237288,59,5100,LAC@NO,LAC,NO,,,,,,SG
57818-110325,PF,Daniel,Daniel Gafford,Gafford,17.064286004929315,42,5100,SA@WAS,WAS,SA,,,,,,PF
57818-110339,SG,Cam,Cam Reddish,Reddish,21.588461068960335,26,5100,ATL@DET,ATL,DET,O,Achilles,,,,SG
57818-9660,C,Dwight,Dwight Howard,Howard,20.399999158135778,58,5100,OKC@PHI,PHI,OKC,,,,,,C
57818-17491,SF,James,James Ennis,Ennis,17.848717322716347,39,5000,LAL@ORL,ORL,LAL,GTD,Calf,,,,SF
57818-14529,PG,Cory,Cory Joseph,Joseph,18.159322447695974,59,5000,ATL@DET,DET,ATL,,,,,,PG
57818-16081,PF,Khem,Khem Birch,Birch,17.2345458984375,55,5000,CLE@TOR,TOR,CLE,,,,,,PF
57818-110337,SG,Talen,Talen Horton-Tucker,Horton-Tucker,18.3,55,5000,LAL@ORL,LAL,ORL,,,,,,SG
57818-9662,SG,Lou,Lou Williams,Williams,20.741071428571427,56,5000,ATL@DET,ATL,DET,,,,,,SG
57818-9666,PF,Thaddeus,Thaddeus Young,Young,28.864286150251115,56,5000,CHI@MIA,CHI,MIA,,,,,,PF
57818-66064,SF,Malik,Malik Beasley,Beasley,29.767568227407093,37,4900,UTA@MIN,MIN,UTA,O,Hamstring,,,,SF
57818-41594,PF,Aaron,Aaron Gordon,Gordon,27.789999389648436,40,4900,MEM@DEN,DEN,MEM,,,,,,PF
57818-84703,SG,De'Anthony,De'Anthony Melton,Melton,22.194871168870193,39,4900,MEM@DEN,MEM,DEN,,,,,,SG
57818-40396,PG,Monte,Monte Morris,Morris,19.96590909090909,44,4900,MEM@DEN,DEN,MEM,GTD,Hamstring,,,,PG
57818-96763,PG,Brandon,Brandon Goodwin,Goodwin,9.926190330868675,42,4900,ATL@DET,ATL,DET,,,,,,PG
57818-66046,SG,Luke,Luke Kennard,Kennard,14.939285278320312,56,4900,LAC@NO,LAC,NO,O,Rest,,,,SG
57818-85137,SG,Duncan,Duncan Robinson,Robinson,21.442622950819672,61,4800,CHI@MIA,MIA,CHI,,,,,,SG
57818-14496,PG,Ricky,Ricky Rubio,Rubio,24.638596919544955,57,4800,UTA@MIN,MIN,UTA,,,,,,PG
57818-80825,PF,Isaiah,Isaiah Hartenstein,Hartenstein,14.49772782759233,44,4800,CLE@TOR,CLE,TOR,,,,,,PF
57818-145536,PG,Theo,Theo Maledon,Maledon,20.266667118778937,54,4700,OKC@PHI,OKC,PHI,,,,,,PG
57818-14543,PF,Davis,Davis Bertans,Bertans,18.40888943142361,45,4700,SA@WAS,WAS,SA,,,,,,PF
57818-84691,PG,Shake,Shake Milton,Milton,21.48076923076923,52,4700,OKC@PHI,PHI,OKC,,,,,,PG
57818-110995,C,Naz,Naz Reid,Reid,21.889830508474578,59,4700,UTA@MIN,MIN,UTA,,,,,,C
57818-9758,SF,Danny,Danny Green,Green,22.152542372881356,59,4600,OKC@PHI,PHI,OKC,,,,,,SF
57818-23097,PG,Tomas,Tomas Satoransky,Satoransky,19.520833333333332,48,4600,CHI@MIA,CHI,MIA,,,,,,PG
57818-66196,SG,PJ,PJ Dozier,Dozier,17.284444173177082,45,4600,MEM@DEN,DEN,MEM,,,,,,SG
57818-9481,PF,Taj,Taj Gibson,Gibson,17.40294153550092,34,4600,PHO@NY,NY,PHO,,,,,,PF
57818-16233,SF,Josh,Josh Richardson,Richardson,23.1374994913737,48,4600,DAL@SAC,DAL,SAC,GTD,Hamstring,,,,SF
57818-80823,PF,Tony,Tony Bradley,Bradley,17.642857142857142,35,4600,OKC@PHI,OKC,PHI,,,,,,PF
57818-23572,SF,Taurean,Taurean Prince,Prince,19.009756693025913,41,4500,CLE@TOR,CLE,TOR,O,Ankle,,,,SF
57818-12363,C,Hassan,Hassan Whiteside,Whiteside,19.61111111111111,36,4500,DAL@SAC,SAC,DAL,,,,,,C
57818-14510,SG,Alec,Alec Burks,Burks,23.1045448996804,44,4500,PHO@NY,NY,PHO,O,Covid-19,,,,SG
57818-84713,SG,Svi,Svi Mykhailiuk,Mykhailiuk,14.967857360839844,56,4500,OKC@PHI,OKC,PHI,,,,,,SG
57818-40208,PG,Raul,Raul Neto,Neto,17.209259033203125,54,4500,SA@WAS,WAS,SA,,,,,,PG
57818-9577,PF,Rudy,Rudy Gay,Gay,21.970588235294116,51,4500,SA@WAS,SA,WAS,GTD,Back,,,,PF
57818-145819,SF,Naji,Naji Marshall,Marshall,16.035000610351563,20,4500,LAC@NO,NO,LAC,,,,,,SF
57818-9664,SF,Andre,Andre Iguodala,Iguodala,15.97592615198206,54,4500,CHI@MIA,MIA,CHI,O,Hip,,,,SF
57818-16405,SG,Terrence,Terrence Ross,Ross,26.056521208389945,46,4400,LAL@ORL,ORL,LAL,GTD,Back,,,,SG
57818-81529,PF,Daniel,Daniel Theis,Theis,21.52280787417763,57,4400,CHI@MIA,CHI,MIA,,,,,,PF
57818-145538,PF,Aleksej,Aleksej Pokusevski,Pokusevski,18.78648582664696,37,4400,OKC@PHI,OKC,PHI,,,,,,PF
57818-110347,SF,Keldon,Keldon Johnson,Johnson,24.928571428571427,56,4400,SA@WAS,SA,WAS,,,,,,SF
57818-16201,PG,Michael,Michael Carter-Williams,Carter-Williams,22.299999606224798,31,4400,LAL@ORL,ORL,LAL,O,Ankle,,,,PG
57818-12355,SG,Eric,Eric Bledsoe,Bledsoe,22.73728813559322,59,4300,LAC@NO,NO,LAC,,,,,,SG
57818-145547,PG,Facundo,Facundo Campazzo,Campazzo,14.561110885054976,54,4300,MEM@DEN,DEN,MEM,,,,,,PG
57818-84711,SG,Grayson,Grayson Allen,Allen,20.81956548276155,46,4300,MEM@DEN,MEM,DEN,,,,,,SG
57818-9966,PF,James,James Johnson,Johnson,17.980000305175782,40,4300,LAC@NO,NO,LAC,GTD,Groin,,,,PF
57818-23802,PG,Kris,Kris Dunn,Dunn,22.386273552389707,51,4300,ATL@DET,ATL,DET,O,Ankle,,,,PG
57818-110349,SF,Rui,Rui Hachimura,Hachimura,24.01914945561835,47,4300,SA@WAS,WAS,SA,O,Knee,,,,SF
57818-16196,C,Dwight,Dwight Powell,Powell,12.853333875868056,45,4300,DAL@SAC,DAL,SAC,,,,,,C
57818-145319,PF,Jaden,Jaden McDaniels,McDaniels,16.51851851851852,54,4300,UTA@MIN,MIN,UTA,,,,,,PF
57818-9729,PF,Paul,Paul Millsap,Millsap,20.902128179022608,47,4200,MEM@DEN,DEN,MEM,,,,,,PF
57818-15417,SF,Solomon,Solomon Hill,Hill,11.75,60,4200,ATL@DET,ATL,DET,,,,,,SF
57818-145489,PG,Killian,Killian Hayes,Hayes,16.237499237060547,16,4200,ATL@DET,DET,ATL,,,,,,PG
57818-117889,SG,Devin,Devin Cannady,Cannady,7.1875,8,4200,LAL@ORL,ORL,LAL,O,Ankle,,,,SG
57818-84679,PF,Marvin,Marvin Bagley,Bagley,25.87837837837838,37,4200,DAL@SAC,SAC,DAL,O,Hand,,,,PF
57818-81621,PF,Maxi,Maxi Kleber,Kleber,18.932557571765987,43,4200,DAL@SAC,DAL,SAC,GTD,Back,,,,PF
57818-23776,C,Montrezl,Montrezl Harrell,Harrell,26.577965687897247,59,4200,LAL@ORL,LAL,ORL,,,,,,C
57818-110331,SG,Ty,Ty Jerome,Jerome,19.507407859519677,27,4200,OKC@PHI,OKC,PHI,,,,,,SG
57818-145344,PG,Malachi,Malachi Flynn,Flynn,13.622856794084822,35,4200,CLE@TOR,TOR,CLE,,,,,,PG
57818-101393,SG,Paul,Paul Watson,Watson,7.722222222222222,27,4100,CLE@TOR,TOR,CLE,O,Knee,,,,SG
57818-12362,C,DeMarcus,DeMarcus Cousins,Cousins,22.496970436789773,33,4100,LAC@NO,LAC,NO,,,,,,C
57818-116340,SG,Terence,Terence Davis,Davis,12.697959432796557,49,4100,DAL@SAC,SAC,DAL,,,,,,SG
57818-145541,PG,R.J.,R.J. Hampton,Hampton,10.74499969482422,40,4100,LAL@ORL,ORL,LAL,,,,,,PG
57818-110316,SF,Cameron,Cameron Johnson,Johnson,17.938889114945024,54,4100,PHO@NY,PHO,NY,,,,,,SF
57818-110346,PF,Isaiah,Isaiah Roby,Roby,21.322449976084183,49,4100,OKC@PHI,OKC,PHI,,,,,,PF
57818-9538,PF,Trevor,Trevor Ariza,Ariza,19.425,20,4100,CHI@MIA,MIA,CHI,,,,,,PF
57818-80824,PG,Frank,Frank Jackson,Jackson,11.831250190734863,32,4100,ATL@DET,DET,ATL,,,,,,PG
